icao24,callsign,latitude,longitude,altitude,velocity,timestamp
a23582,N241UK  ,33.3693,-116.5875,3672.84,32.11,2024-10-03 19:20:05
4b1804,SWR28L  ,46.6263,6.1582,5029.2,179.47,2024-10-03 19:20:05
4b1808,SWR2075 ,41.6375,-5.5929,10241.28,246.7,2024-10-03 19:20:05
4b1800,SWR181V ,39.2707,21.1895,11582.4,216.33,2024-10-03 19:20:05
aaef60,AAL311  ,42.598,-94.129,11582.4,210.65,2024-10-03 19:20:05
4952ca,TAP556  ,39.1442,-8.7662,4251.96,207.85,2024-10-03 19:20:05
4952cb,TAP574  ,45.9943,-1.7436,10972.8,215.63,2024-10-03 19:20:05
4952cd,TAP755  ,49.7314,3.4215,11269.98,249.84,2024-10-03 19:20:05
a3a575,JBU1955 ,42.0349,-72.0741,7924.8,208.34,2024-10-03 19:20:05
ad3c16,AAL2124 ,37.7139,-122.3919,922.02,131.38,2024-10-03 19:20:05
a5954e,UAL2673 ,40.7721,-88.5842,8359.14,212.92,2024-10-03 19:20:05
ace6b9,N930LX  ,30.627,-92.4715,9448.8,173.74,2024-10-03 19:20:05
a1befc,UAL469  ,40.1948,-96.1959,11582.4,232.34,2024-10-03 19:20:05
a97808,N709WY  ,31.6588,-86.6783,7627.62,139.72,2024-10-03 19:20:05
a808d7,ATN3308 ,39.0064,-84.8684,2324.1,147.0,2024-10-03 19:20:05
4952c1,TAP534  ,48.8713,3.3889,10972.8,221.5,2024-10-03 19:20:05
4952c5,TAP74NA ,44.3654,-3.916,10363.2,214.27,2024-10-03 19:20:05
4952c6,TAP783  ,58.3661,15.6835,10058.4,242.23,2024-10-03 19:20:05
ac83aa,N905VR  ,34.2314,-97.7355,13716.0,240.43,2024-10-03 19:20:05
4952c8,TAP86VC ,42.9434,5.0786,11879.58,228.34,2024-10-03 19:20:05
a2ded8,SWA3530 ,27.3038,-79.0973,7299.96,238.36,2024-10-03 19:20:05
39de41,TVF70WG ,44.6568,12.6679,11574.78,223.92,2024-10-03 19:20:05
3c6669,DLH43U  ,42.8858,-1.5346,10668.0,225.35,2024-10-03 19:20:05
3c6667,DLH05U  ,46.5901,-1.3287,10660.38,239.06,2024-10-03 19:20:05
44028c,EJU4588 ,38.5732,-8.8834,10980.42,220.3,2024-10-03 19:20:05
4acb01,NSZ3659 ,41.5458,3.3158,8831.58,225.87,2024-10-03 19:20:05
ad564b,N959CC  ,38.7038,-80.8815,13106.4,176.91,2024-10-03 19:20:05
a61815,N492FT  ,35.2169,-102.9762,13106.4,216.73,2024-10-03 19:20:05
51116f,MBU6513 ,41.2755,4.441,11582.4,229.0,2024-10-03 19:20:05
4bc8c3,PGT740  ,39.0692,30.1112,9159.24,239.83,2024-10-03 19:20:05
40814c,GLMHA   ,42.5863,-2.8891,13098.78,223.53,2024-10-03 19:20:05
abf008,SWA3650 ,39.4897,-92.4829,10972.8,216.68,2024-10-03 19:20:05
511171,MBU6891 ,48.923,16.939,10980.42,230.26,2024-10-03 19:20:05
511170,MBU6003 ,48.5282,17.32,10972.8,237.81,2024-10-03 19:20:05
a46e8c,DOW385  ,40.3472,-82.5361,5760.72,109.88,2024-10-03 19:20:05
3c6672,DLH3WY  ,44.4104,9.6982,10675.62,222.73,2024-10-03 19:20:05
a8e37c,DAL3115 ,29.6341,-83.774,10050.78,252.24,2024-10-03 19:20:05
a1b2ee,JBU52   ,33.0725,-80.5629,11292.84,242.96,2024-10-03 19:20:05
ac101f,SWA1136 ,41.7193,-83.0197,11277.6,260.03,2024-10-03 19:20:05
a2d2da,N281MW  ,45.0666,-87.0645,11879.58,273.97,2024-10-03 19:20:05
ad90a3,AAL927  ,32.7955,-81.0211,9593.58,239.23,2024-10-03 19:20:05
471efc,WMT20QC ,40.6038,8.8627,10683.24,209.06,2024-10-03 19:20:05
a798ad,WMN589  ,31.093,-87.1945,12496.8,248.54,2024-10-03 19:20:05
a4d84d,CTL105  ,43.4326,-89.8886,2727.96,90.6,2024-10-03 19:20:05
a88072,NKS1237 ,37.8466,-84.0536,10972.8,224.83,2024-10-03 19:20:05
a94b50,UAL378  ,41.8182,-88.7049,5234.94,190.45,2024-10-03 19:20:05
a88bde,NOAA65  ,31.0577,-82.9154,6705.6,126.12,2024-10-03 19:20:05
440248,EJU87TQ ,40.6381,-6.2841,11582.4,205.28,2024-10-03 19:20:05
4b1880,SWR8T   ,47.3958,-72.5616,11582.4,202.82,2024-10-03 19:20:05
4b1881,SWR14V  ,45.3349,-65.1789,12192.0,218.9,2024-10-03 19:20:05
a0f4a2,DAL289  ,45.5267,-66.9073,10972.8,220.39,2024-10-03 19:20:05
